"","Intrinsic","Batch","spin_cpm","pdac_cpm"
"MRPS10P2",1,2.04390436683216e-133,0.0492588820332477,0
"AL122003.1",1,2.31929543414041e-133,0.0492588820332477,0.0944536170585555
"AL390316.1",1,2.44330991425613e-133,0.0492588820332477,0.00648057098658488
"BRS3",1,2.56040644589094e-133,0.0492588820332477,0.158151525916366
"NOC2LP2",1,3.35590020932821e-133,0.0492588820332477,0.152939129363815
"AC105206.1",1,4.05013895067861e-133,0.0492588820332477,0.11995192355908
"AC099677.1",1,4.44786065635769e-133,0.0492588820332477,0.00146871960925385
"SNX18P9",1,3.9970807521085e-130,0.227627220602703,0
"AL360169.2",1,2.84872800062894e-127,0.129109456536208,0.0383709190522593
"AL807752.1",1,6.03618226659955e-125,0.0798505745029604,0.108525894909669
"AC109992.2",1,1.32744035799338e-124,0.0798505745029604,0.00111381852177018
"AC012186.3",1,1.71515835625361e-124,0.0798505745029604,0.0214998509595793
"RPL34P20",1,2.49435066265635e-124,0.0798505745029604,0.00918738971227705
"AL139125.1",1,3.57372488987013e-124,0.0798505745029604,0
"HNRNPA1P68",1,5.54527715728799e-124,0.0798505745029604,0.155459325112824
"AC126773.4",1,8.91212757627689e-124,0.0798505745029604,0.151038111944033
"AC012507.2",1,2.08719310190687e-121,0.110442266972673,0.106227915094937
"AC010285.3",1,3.54352832503184e-121,0.110442266972673,0.021338873695967
"CFL1P5",1,7.45522741479099e-121,0.110442266972673,0.0370985685514229
"DBIL5P2",1,4.09697609407732e-120,0.141033959442386,0.17209593887813
"AC005391.1",1,9.45403924707946e-120,0.141033959442386,0
"NDUFA9P1",1,8.43073184347789e-117,0.0611833849394255,0.118517348091104
"HYDIN2",1,8.6903449582968e-117,0.152958462348564,0.106716671313693
"AC005336.3",1,1.48751298093211e-116,0.0611833849394255,0.0458501614888538
"LINC00896",1,4.14861616998602e-116,0.0305916924697127,0.136364209339695
"AC022080.2",1,4.66004517249901e-116,0.0611833849394255,0
"MMP21",1,5.46957383839489e-116,0.0305916924697127,0.058149880153097
"GJA6P",1,6.06712507135855e-116,0.0305916924697127,0.0755020681425372
"TAS2R8",1,6.19649754898055e-116,0.0305916924697127,0.0758924150135066
"PTCHD3",1,6.40799154264908e-116,0.0305916924697127,0.302925574471068
"FHP1",1,7.27542762268601e-116,0.0305916924697127,0.0944138432111654
"C1QTNF4",1,7.52092375646604e-116,0.0611833849394255,0.12669045850811
"AC139792.3",1,7.52808875357904e-116,0.0305916924697127,0.0229250807444269
"AL353804.1",1,7.97389890673449e-116,0.0611833849394255,0.0239337775066602
"AC007663.4",1,8.31731371047575e-116,0.0305916924697127,0.0158976906273034
"C20orf144",1,8.53235622926514e-116,0.0305916924697127,0.137672495158445
"AC090510.1",1,9.08376383162033e-116,0.0305916924697127,0.0205882623648069
"AC011472.1",1,9.82787994756186e-116,0.0305916924697127,0.017949924266182
"LINC01664",1,1.13868242671752e-115,0.0917750774091382,0.0174366458633212
"AL162591.3",1,1.1626027320628e-115,0.0305916924697127,0.0493668067060747
"AL031602.1",1,1.17637455837553e-115,0.0305916924697127,0.237486458168894
"RPSAP45",1,1.28786497953822e-115,0.0305916924697127,0.0985138014557322
"RPL7P58",1,1.29218850795788e-115,0.0305916924697127,0.00568652638607253
"XIAPP3",1,1.30921789073225e-115,0.0305916924697127,0.143589689387355
"AC026368.1",1,1.31620916641512e-115,0.0305916924697127,0.028469272593918
"AL162726.4",1,1.33858285481951e-115,0.0305916924697127,0
"ENPP7P5",1,1.37736215496754e-115,0.0305916924697127,0.0653249627308459
"AL133523.1",1,1.42331349120913e-115,0.0917750774091382,0.0192117953660996
"AC114341.1",1,1.49307391596748e-115,0.0305916924697127,0.0127468907635797
"AC025181.1",1,1.53238169371599e-115,0.0305916924697127,0.00232865556728825
"TTLL11-IT1",1,1.55679450598795e-115,0.0305916924697127,0.0830522925929338
"AL451074.4",1,1.57152345801093e-115,0.0611833849394255,0.0260282819841602
"MTND3P5",1,1.57783849073018e-115,0.0305916924697127,0.0290749400765485
"HMGN1P20",1,1.59827429896257e-115,0.0305916924697127,0
"AC020978.1",1,1.61242305715685e-115,0.0305916924697127,0
"LINC02234",1,1.63307077721269e-115,0.0611833849394255,0.199827259837661
"AL357874.1",1,1.7256759333337e-115,0.0305916924697127,0.0128293832973609
"ULK4P1",1,1.75180906167045e-115,0.0305916924697127,0
"SLC35G3",1,1.76409670242497e-115,0.0305916924697127,0.0972361502470621
"FOXD4L6",1,1.77214941671983e-115,0.0305916924697127,0.0365051817751082
"AC005699.1",1,1.78475378704737e-115,0.0305916924697127,0.0795187964215408
"AL731533.2",1,1.79111943972407e-115,0.0305916924697127,0.00653580452276627
"AC109361.1",1,1.81107398404642e-115,0.0305916924697127,0.154327957368058
"AC051619.1",1,1.83486683836883e-115,0.0305916924697127,0.173459232998251
"AC055716.2",1,1.85316584298675e-115,0.0305916924697127,0.348482926086477
"AL359510.2",1,1.90282271637595e-115,0.0305916924697127,0.0458935550251195
"RN7SL481P",1,1.90581097798996e-115,0.0305916924697127,0.0348732780355274
"AL162426.1",1,1.92380659932955e-115,0.0305916924697127,0.0688397696960231
"D21S2088E",1,1.92643847297617e-115,0.0305916924697127,0.0514726208234202
"SLX1A",1,1.93079152035685e-115,0.0305916924697127,0.00377375226089272
"AC092821.2",1,1.94749488424621e-115,0.0305916924697127,0.0283533390363738
"AC104184.1",1,1.9501090126171e-115,0.0305916924697127,0.0311495514092465
"AC005224.2",1,1.96980579571167e-115,0.0611833849394255,0.0603426244163237
"AC006441.2",1,1.97587465594063e-115,0.0305916924697127,0
"AC234782.1",1,1.99884616970684e-115,0.0305916924697127,0.102837392918305
"AL451064.2",1,2.03210370807502e-115,0.0611833849394255,0.00904885309497267
"TAS2R3",1,2.04434559925245e-115,0.0305916924697127,0.0719309647215126
"AC021820.1",1,2.04798644139437e-115,0.0611833849394255,0.0273312395721884
"LINC02249",1,2.05087328548448e-115,0.122366769878851,0.252868890940339
"AL590004.4",1,2.09375225871836e-115,0.0305916924697127,0.801224479359234
"AL390728.3",1,2.1036162808552e-115,0.0611833849394255,0.0272515236054333
"AC004080.5",1,2.10372799291066e-115,0.0611833849394255,0
"AC011487.3",1,2.12451911800956e-115,0.0305916924697127,0
"AL158825.2",1,2.14134763910491e-115,0.0305916924697127,0
"AC005593.1",1,2.15689467447148e-115,0.0305916924697127,0.162925012346407
"AC091564.1",1,2.26089835722322e-115,0.0305916924697127,0.026510188424625
"TMEM78",1,2.2643004350152e-115,0.0305916924697127,0.10746892789733
"GPR75-ASB3",1,2.30905921632876e-115,0.0305916924697127,0.061933105982417
"AL161911.2",1,2.31133664589069e-115,0.0305916924697127,0.0933301577531995
"AC122129.2",1,2.31416825962483e-115,0.0305916924697127,0
"NT5C1B-RDH14",1,2.35365721097504e-115,0.0305916924697127,0.0100207300840541
"TUBB8P7",1,2.35748044172265e-115,0.0305916924697127,0.0752635932906381
"RN7SL753P",1,2.37807167175981e-115,0.0305916924697127,0.0443141262181764
"PRUNEP1",1,2.38556001768724e-115,0.0305916924697127,0.0148191113890335
"AC131009.3",1,2.4172489336714e-115,0.0305916924697127,0.0458501614888538
"AC023794.4",1,2.42113590912442e-115,0.0305916924697127,0.049382210095362
"WDR45BP1",1,2.42415043184556e-115,0.0305916924697127,0.102626395254301
"RPL7AP14",1,2.44107865350748e-115,0.0305916924697127,0.0441896733730538
"AC135048.4",1,2.49556987328026e-115,0.0305916924697127,0.211047605196378
"RN7SL333P",1,2.49856639423393e-115,0.0305916924697127,0
"ATG10-IT1",1,2.52472111118708e-115,0.0611833849394255,0
"GNRH2",1,2.53034903558032e-115,0.0305916924697127,0.113538799741949
"AL031736.2",1,2.53561531799414e-115,0.0305916924697127,0.00263755041703998
"AC008676.2",1,2.54101118137434e-115,0.0611833849394255,0.168935811548352
"AC140125.1",1,2.54851271846372e-115,0.0611833849394255,0.00681288090135831
"ELAVL3",1,2.56256536682189e-115,0.0305916924697127,0.227178779219487
"AC004623.1",1,2.57338053842571e-115,0.0917750774091382,0.0704824562182164
"AC104134.1",1,2.60047959882233e-115,0.0305916924697127,0.0450370977303736
"RN7SKP127",1,2.60240239427075e-115,0.0305916924697127,0
"RASGEF1C",1,2.6097318701319e-115,0.0611833849394255,0.153940663572176
"GPS2P2",1,2.64918104273327e-115,0.0611833849394255,0.00459369485613852
"AC126407.1",1,2.67967405568004e-115,0.0305916924697127,0.046439117502248
"AC079944.1",1,2.68074802945504e-115,0.0305916924697127,0.0727599635171936
"ZNF70P1",1,2.70019145997143e-115,0.0305916924697127,0.117589464654163
"AC016168.2",1,2.71322768810486e-115,0.0611833849394255,0.0364647105435636
"AL627230.1",1,2.73243684875492e-115,0.0305916924697127,0.00465919142533534
"ACTL9",1,2.74073033276217e-115,0.0305916924697127,0.00459369485613852
"AC008063.1",1,2.74921913945767e-115,0.0611833849394255,0.0636642741285453
"AC109454.3",1,2.7721003284152e-115,0.0305916924697127,0.0393140439021262
"AL021546.1",1,2.78911101492777e-115,0.0305916924697127,0
"AC007922.1",1,2.83676032494697e-115,0.0305916924697127,0.00787408915686269
"PRKAR1AP1",1,2.83738607100383e-115,0.0305916924697127,0.324488599869251
"AC243919.1",1,2.85624301929506e-115,0.0305916924697127,0.111631901586954
"TMEM125",1,2.89008373434354e-115,0.0305916924697127,0.0847524561751719
"AC008568.1",1,2.8968145535546e-115,0.0611833849394255,0.00229610453925172
"AC006960.2",1,2.94512021561206e-115,0.0611833849394255,0.00459369485613852
"CHORDC2P",1,2.97266700247959e-115,0.0305916924697127,0.0476574099674989
"AC120024.1",1,2.98831285766732e-115,0.0305916924697127,0.118058478335864
"AL161756.3",1,3.01879833489365e-115,0.0305916924697127,0.111036952506784
"AC034102.6",1,3.10532463917783e-115,0.0305916924697127,0.0431572603628156
"KIF4CP",1,3.13161176268219e-115,0.0611833849394255,0.0166139671761447
"EGR4",1,3.26089234712221e-115,0.0305916924697127,0.031105175956054
"RPS8P4",1,3.26338093489078e-115,0.0305916924697127,0.0131314548647352
"LDHAL6B",1,3.26619162616774e-115,0.0305916924697127,0.137556491448909
"TPSAB1",1,3.30840678652574e-115,0.0917750774091382,0.475691579402524
"AL354892.3",1,3.36533215505215e-115,0.0305916924697127,0.067922132851267
"AC092920.1",1,3.37841186772918e-115,0.0305916924697127,0
"CPB2-AS1",1,3.38623786489142e-115,0.0611833849394255,0.32537948935065
"MICD",1,3.5253254490913e-115,0.0305916924697127,0.0805587523454838
"AC026191.1",1,3.56483969489979e-115,0.0611833849394255,0.132883190406395
"LINC01424",1,3.63935577034065e-115,0.0611833849394255,0.0496630514531623
"ZAR1L",1,3.65091165052917e-115,0.0305916924697127,0.116620277427714
"AL356652.1",1,3.66273926781525e-115,0.0917750774091382,0.0463430363329816
"WNT8B",1,3.69151506871331e-115,0.0305916924697127,0.128360545733342
"SPATA32",1,3.71052505360251e-115,0.0305916924697127,0.0521760096148947
"AP003117.1",1,3.78029858491624e-115,0.0305916924697127,0.0227549404001943
"AC004158.1",1,3.90012331029094e-115,0.0611833849394255,0.352738116063307
"CHSY3",1,3.94501484784327e-115,0.0305916924697127,0.408026930116571
"GAS6-AS2",1,4.01733678265186e-115,0.0611833849394255,0.279790483090792
"MAMDC2",1,4.01734445255848e-115,0.0611833849394255,0.285130785139241
"CCDC58P5",1,4.07918891920368e-115,0.0917750774091382,0
"RN7SKP69",1,4.09008645404252e-115,0.0305916924697127,0.00213431343738299
"AC006372.4",1,4.09650687171049e-115,0.0917750774091382,0.106688513949212
"ERI3-IT1",1,4.15407544325631e-115,0.0305916924697127,0
"MIR3681HG",1,4.17158123290723e-115,0.0611833849394255,0.284617539163252
"AL109614.1",1,4.23802524798003e-115,0.0611833849394255,0.00308948360542045
"LINC02212",1,4.33269303851808e-115,0.0611833849394255,0.0132248079092589
"AC239860.1",1,4.60946341171182e-115,0.122366769878851,0
"AC020658.5",1,4.64890140824873e-115,0.0305916924697127,0.0890807054798382
"AL358074.1",1,4.72357382520779e-115,0.0305916924697127,0.0516477537119192
"WT1-AS",1,4.78526903883919e-115,0.130998988809482,0.33001995250079
"AC087289.5",1,4.83786672658019e-115,0.0611833849394255,0.164530149623473
"KLHL31",1,4.94343089048938e-115,0.0305916924697127,0.497048768316794
"AL158151.1",1,5.03186412621018e-115,0.0305916924697127,0.130225839130019
"ACBD7",1,5.23230631694713e-115,0.0611833849394255,0.141563337486253
"AC068790.9",1,5.45935141027649e-115,0.0305916924697127,0.262338998300755
"AC007370.2",1,5.52000154105155e-115,0.0305916924697127,0.125391835766947
"AL096855.1",1,5.58501447140791e-115,0.0611833849394255,0.0171434047428656
"KRT18P57",1,6.11527323586227e-115,0.0305916924697127,0.084661486414162
"YAP1P1",1,6.13096151865835e-115,0.0305916924697127,0.0728756778634829
"DQX1",1,6.48252272891012e-115,0.0305916924697127,0.0938948487794854
"SMCR2",1,6.48896454940676e-115,0.0305916924697127,0.0290749400765485
"AC018557.1",1,6.88029784205625e-115,0.0305916924697127,0.0999075261805148
"LINC01985",1,6.96847266427231e-115,0.0305916924697127,0.0708266829760603
"TBX20",1,7.31426326837638e-115,0.0917750774091382,0.0537734230037263
"IGLV1-41",1,9.20956160116003e-115,0.0917750774091382,0
"CKMT2",1,9.36013913008737e-115,0.0305916924697127,0.134051420916184
"AP001341.1",1,1.16553878276787e-114,0.0305916924697127,0.0383433908928098
"AL391684.1",1,1.18087687370587e-114,0.0305916924697127,0.515596120678967
"IL17C",1,1.20726712217345e-114,0.0611833849394255,0.0184287593671817
"AC103691.2",1,1.462755442204e-114,0.0305916924697127,0
"MYH7",1,1.47637528968557e-114,0.0305916924697127,0.063485867726637
"RN7SL173P",1,1.71577189781089e-114,0.130998988809482,0
"AL133445.2",1,1.45828832160976e-111,0.173515184185373,0.00539872841374231
"CCDC194",1,5.47291022631075e-111,0.28584698343132,0.00681288090135831
"LINC00398",1,3.04292237038109e-110,0.0817401067762345,0.00334145556531053
"AC093663.2",1,1.84130499511511e-109,0.0817401067762345,0.0157510278739898
"AL592166.1",1,2.29262282675674e-109,0.0817401067762345,0.0603785533026497
"AC134669.1",1,2.58447615471549e-109,0.0817401067762345,0.102927580156024
"AC016542.2",1,3.08614840832695e-109,0.0817401067762345,0.0442421640804871
"RHPN1-AS1",1,6.49844344760494e-109,0.0817401067762345,0.263695344207833
"AC008696.1",1,7.16996586738125e-109,0.0817401067762345,0.00433268654988517
"AC104164.1",1,8.64094421901661e-105,0.114221331519221,0.0485169541572547
"AC006449.2",1,1.16912957543644e-104,0.114221331519221,0.0260608346725761
"MAGED4",1,1.40340317774034e-104,0.114221331519221,0.0411341501779468
"TTYH1",1,2.29442335975628e-104,0.114221331519221,0.238298220119125
"AL590560.3",1,4.82062542680966e-104,0.177294248731921,0.0346440326853994
"AL359715.4",1,2.39581630228735e-103,0.0630729172126995,0.269985864194667
"TMPRSS6",1,8.05419525194827e-103,0.0630729172126995,0.135215954754684
"AC012291.1",1,1.1594720474249e-102,0.146702556262208,0.0974277234397047
"HMGB3P12",1,1.43717572236592e-102,0.0630729172126995,0.129290349029365
"AC058823.1",1,2.72437136398243e-102,0.146702556262208,0.0284941733532778
"RPL23AP72",1,5.4055091700384e-102,0.0630729172126995,0.137421608566957
"MEGF10",1,7.19705102821376e-101,0.0955541419556863,0.174858662595032
"RSL24D1P11",1,8.96016963749208e-101,0.0955541419556863,0.10972989390091
"MTND5P26",1,1.557585798205e-100,0.0955541419556863,0
"PCDHGA1",1,1.72793376848067e-100,0.0955541419556863,0.242152870421157
"AK4P4",1,7.5296250186728e-98,0.0324812247429868,0.00918738971227705
"RPSAP11",1,1.08807269305571e-97,0.0324812247429868,0.122891846284033
"LINC01580",1,1.91480791184092e-97,0.0324812247429868,0
"AC016738.2",1,2.1175582209484e-97,0.0324812247429868,0.0137810845684156
"LDHBP1",1,2.35150358112665e-97,0.0324812247429868,0.00918738971227705
"SNORD100",1,2.35929623323271e-97,0.0324812247429868,0
"NANOGP8",1,2.42471999793095e-97,0.180984249423757,0.103781686992182
"AC091053.1",1,3.47321563395389e-97,0.0324812247429868,0.116645715759969
"AC116407.2",1,3.63137394866779e-97,0.0324812247429868,0
"AC025287.3",1,3.67095518163305e-97,0.0324812247429868,0.0573127018610672
"SERPIND1",1,4.11511231098762e-97,0.0649624494859736,1.30618159971802
"AC016894.1",1,4.33531441161421e-97,0.129924898971947,0.00681288090135831
"NPM1P14",1,4.83956772701039e-97,0.0324812247429868,0.0833737587482981
"AC026979.4",1,5.06306167396025e-97,0.0974436742289604,0.0376813818409527
"AC025750.2",1,5.3072584523189e-97,0.0324812247429868,0.108281356515418
"AP001412.1",1,5.94980168316016e-97,0.0649624494859736,0.0252817639956432
"MAPK15",1,5.95482858624196e-97,0.0324812247429868,0.050178460908049
"STX19",1,6.24137756633208e-97,0.0324812247429868,0.155540354453075
"AC021851.1",1,6.26079705689534e-97,0.0649624494859736,0.0180061627575068
"AC117503.4",1,6.38144279367742e-97,0.0324812247429868,0.040101278448455
"AC096564.1",1,6.69896670446644e-97,0.0324812247429868,0.119701937797688
"AC104966.1",1,6.76031098468204e-97,0.0324812247429868,0.0869194529102442
"AL109811.1",1,6.90342082684664e-97,0.0974436742289604,0.0775280767047196
"ZNF214",1,7.00091620845846e-97,0.0649624494859736,0.31003569154839
"AC036108.4",1,7.10802792824964e-97,0.0649624494859736,0.260754799044895
"AC243962.1",1,7.18888106125033e-97,0.0324812247429868,0
"AC092646.2",1,7.54105009320781e-97,0.0324812247429868,0.146376519221173
"CALY",1,7.59049074081396e-97,0.0324812247429868,0.535047259725467
"LINC01887",1,7.81773773948916e-97,0.0649624494859736,0.00334145556531053
"DBIP2",1,7.91480959841401e-97,0.0324812247429868,0.0529868610930206
"AC025198.1",1,7.99553160212697e-97,0.0649624494859736,0.143120049999032
"PHBP21",1,8.34341502171366e-97,0.0324812247429868,0.159309482365679
"TSC22D1-AS1",1,8.57948325605253e-97,0.0324812247429868,0.0657286458225561
"HSP90AA4P",1,8.59917132433764e-97,0.0324812247429868,0.372035504811992
