,Intrinsic,Extrinsic
EFEMP2,1,1.61E-10
OR10AD1,1.78E-29,1
AGAP5,0.999999462,5.38E-07
WASHC2C,0.999528336,0.000471664
TMEM134,0.666697625,0.333302375
ZMAT3,0.721140006,0.278859994
ZFAND4,0.490946631,0.509053369
THEMIS,0.362832787,0.637167213
MOS,0.875303938,0.124696062
ZNF738,0.48507896,0.51492104
MS4A10,0.932822689,0.067177311
SLFN11,0.999999998,2.28E-09
FAM71D,0.619869264,0.380130736
CCL19,0.999757837,0.000242163
CORO1B,0.913303212,0.086696788
FUT10,1,2.09E-11
LRRC20,1,3.11E-11
MUS81,0.999994461,5.54E-06
PURG,0.999999994,5.82E-09
TMEM217,0.999086262,0.000913738
OR4D9,0.911824261,0.088175739
RPL12P13,1,4.93E-14
ZNF596,1,1.07E-14
COL6A5,0.411917257,0.588082743
CFL1,0.611818414,0.388181586
TMCC1,0.754357996,0.245642004
NAA16,0.563917759,0.436082241
OR5B3,0.021495584,0.978504416
EFCAB12,0.99999943,5.70E-07
OR10W1,NA,NA
FAM192A,0.698373875,0.301626125
RAB43,0.6073067,0.3926933
FADS6,1.27E-06,0.999998728
CBWD1,0.82669425,0.17330575
HOXC5,1,2.08E-17
RAB37,0.378341295,0.621658705
DCP2,0.613403499,0.386596501
ZBTB8OSP2,0.727545849,0.272454151
SNX32,0.218545908,0.781454092
RPL38,0.446418472,0.553581528
CYP7B1,0.37871394,0.62128606
OVOL1,1,1.11E-43
RARG,0.298471998,0.701528002
CES4A,1,3.54E-17
CES3,1,1.13E-52
SSH3,0.999665223,0.000334777
CES2,0.999962918,3.71E-05
PDP2,0.99198663,0.00801337
SP3,0.985665525,0.014334475
KRT2,1,2.96E-62
DMXL1,0.989455615,0.010544385
METAP1D,0.887581601,0.112418399
ZNF621,0.985025213,0.014974787
EGFL7,0.876736931,0.123263069
NADSYN1,1,4.68E-13
DHCR7,0.424131288,0.575868712
FLJ42102,0.006052237,0.993947763
LVRN,0.584070762,0.415929238
COX6B1P3,NA,NA
NBEA,0.999727493,0.000272507
RNASEH2C,0.91328958,0.08671042
MYEOV,0.214568858,0.785431142
ANKRD13D,0.99627463,0.00372537
MRGPRF,0.867646707,0.132353293
MYD88,0.998196825,0.001803175
MRGPRD,6.00E-08,0.99999994
OXSR1,0.994526991,0.005473009
SLC22A13,0.014170182,0.985829818
PHF8,0.954901319,0.045098681
LCLAT1,0.444957981,0.555042019
ADH6,1,1.08E-10
MIR4435-2HG,0.209054373,0.790945627
XKR3,0.399394809,0.600605191
FRG2C,0.011271406,0.988728594
UNC93B3,NA,NA
AC007318.1,0.999999999,7.30E-10
KAT5,0.999946526,5.35E-05
SH3RF3,0.999999993,7.27E-09
GXYLT2,1,1.04E-13
HPSE2,0.265966468,0.734033532
DCAKD,0.421076197,0.578923803
ARPP21,1,7.27E-57
TADA2B,0.993662353,0.006337647
CCDC96,0.99989067,0.00010933
GRK2,0.998070072,0.001929928
RELA,0.77158805,0.22841195
EVC2,1,2.63E-40
ZNF680,0.627002712,0.372997288
HECTD4,0.99895869,0.00104131
FAM222B,0.515191746,0.484808254
BNC2,0.761076825,0.238923175
1-Dec,0.620972494,0.379027506
RXFP4,0.093141485,0.906858515
HPSE,0.326889144,0.673110856
COQ2,0.90188299,0.09811701
CCDC63,NA,NA
HSPA6,0.844592028,0.155407972
TRMT112,0.706575595,0.293424405
LRRN3,0.352821993,0.647178007
KDM2A,0.999959716,4.03E-05
ACSM6,0.805382649,0.194617351
ADCK5,1,2.90E-17
MRPL57,0.517315019,0.482684981
NOC3L,0.967485252,0.032514748
ESRRA,0.5382481,0.4617519
RHOD,1,1.59E-23
ADAMTS20,0.821852592,0.178147408
COMMD1,0.791439623,0.208560377
RAPH1,0.999371906,0.000628094
MTX1,0.428785285,0.571214715
ADCY5,8.56E-13,1
PARP14,0.983750408,0.016249592
CYSLTR1,0.999908439,9.16E-05
PARP15,0.999950984,4.90E-05
CKS1B,0.705309683,0.294690317
ABCD2,0.999991923,8.08E-06
AHSA2,1,2.47E-15
ABLIM3,0.41180563,0.58819437
MAB21L3,0.378713945,0.621286055
TUBB8P12,0.200665061,0.799334939
MFSD4B,0.999998695,1.30E-06
VANGL1,0.860176498,0.139823502
GLRX,0.983315889,0.016684111
IQCB1,0.99999544,4.56E-06
SYT12,0.030643758,0.969356242
GOLGB1,0.999330373,0.000669627
TERF1P1,1.66E-06,0.999998338
C11orf86,0.852986868,0.147013132
LIPM,0.008954104,0.991045896
GPR151,0.879121495,0.120878505
DMRT2,0.47085407,0.52914593
ZNF483,0.487007463,0.512992537
PLAC8L1,4.33E-05,0.999956746
SLC2A14,0.99723555,0.00276445
GPR137,0.861833118,0.138166882
SNCG,0.48584918,0.51415082
MMRN2,0.999881971,0.000118029
MZT2A,0.699699443,0.300300557
TNKS,0.999986634,1.34E-05
ZNF449,0.996740147,0.003259853
ZBTB21,0.861701491,0.138298509
PPP1R3B,0.907233723,0.092766277
OR10K1,0.001259301,0.998740699
FAM86B3P,1,5.61E-33
GPR148,NA,NA
STOX2,0.999999998,2.31E-09
MAP3K11,0.897969181,0.102030819
TRIB1,0.999999867,1.33E-07
CST9,0.880599889,0.119400111
KCNK7,0.712973701,0.287026299
SFT2D3,1,1.47E-11
AC007967.1,NA,NA
AC097637.1,0.160291349,0.839708651
C1QB,0.994745883,0.005254117
C1QA,0.999824811,0.000175189
NDNF,1,1.10E-32
IQCF1,2.46E-06,0.999997542
OLR1,0.563420481,0.436579519
GLIPR1L1,NA,NA
DAG1,0.731231793,0.268768207
INSM1,0.027312864,0.972687136
DAB1,1,1.63E-15
ARV1,0.850449079,0.149550921
NAA20,0.953615653,0.046384347
CCDC36,1,6.58E-21
RNASE8,0.967591481,0.032408519
SAA1,1,3.31E-13
MINOS1,0.553966328,0.446033672
EHBP1L1,0.999999984,1.57E-08
THAP2,0.876766918,0.123233082
TMEM196,0.541504485,0.458495515
RNF26,0.999999993,6.83E-09
PPP1R14B,1,1.81E-10
RNASE11,0.603797756,0.396202244
SSSCA1,0.647004703,0.352995297
AGR3,NA,NA
SMARCC1,0.846162015,0.153837985
ZNF417,1,9.32E-13
PTPRM,0.999702532,0.000297468
FKBP2,0.712649899,0.287350101
VEGFB,0.999787813,0.000212187
PEAK1,0.999736747,0.000263253
TNFRSF10D,0.618917554,0.381082446
MST1,0.977529919,0.022470081
TNFRSF10C,0.757977742,0.242022258
GMPPB,1,6.38E-17
MOB1B,0.287618458,0.712381542
ZNF622,0.887788567,0.112211433
CSPG4,1,5.42E-41
SNX33,0.805497685,0.194502315
C2orf70,0.000584266,0.999415734
NABP1,0.860296587,0.139703413
ADGRF3,1,1.53E-10
NLRP13,0.807770526,0.192229474
CHD2,0.929438493,0.070561507
XCR1,0.349519097,0.650480903
CCDC106,0.999941802,5.82E-05
CCR9,0.988751025,0.011248975
CEP83,0.998374065,0.001625935
SULT1B1,0.870716938,0.129283062
NUDT4,0.973760676,0.026239324
PC,0.683394998,0.316605002
UGT2A1,0.897957675,0.102042325
SCAI,0.489802334,0.510197666
GPRC6A,0.000126083,0.999873917
NMNAT1,0.591191767,0.408808233
LRFN4,1,3.86E-26
TRAPPC3L,0.197053285,0.802946715
APOBEC4,0.238894353,0.761105647
SLC19A1,0.99999979,2.10E-07
HSPB7,0.999969128,3.09E-05
RCE1,1,1.93E-14
UQCRH,0.440398339,0.559601661
TAS1R1,1,1.92E-25
HES3,NA,NA
EIF1AX,0.770523311,0.229476689
SPDYE2B,NA,NA
OR1L1,0.838268682,0.161731318
BCLAF3,0.758619602,0.241380398
PSMD1,0.936882241,0.063117759
ADGRG2,0.103280813,0.896719187
SPATA3,0.597622037,0.402377963
MUC13,1.63E-22,1
SUSD5,0.826445868,0.173554132
HEG1,0.967896281,0.032103719
WFIKKN2,1,1.17E-43
C11orf80,0.999999894,1.06E-07
TOMM20,0.778672708,0.221327292
AP000769.1,1,1.09E-10
C1orf100,0.110340542,0.889659458
AGFG1,0.922315868,0.077684132
STAT5B,0.83027292,0.16972708
CD7,0.401556901,0.598443099
TOPAZ1,0.999999042,9.58E-07
CNP,0.999892659,0.000107341
JUP,0.995307937,0.004692063
HAP1,0.991085319,0.008914681
TDRD12,0.356957516,0.643042484
PPIAP7,0.682844193,0.317155807
CCDC13-AS1,NA,NA
EIF1,0.329836563,0.670163437
ENDOV,1,1.40E-13
RNF213,0.99999972,2.80E-07
TIGD3,0.970575024,0.029424976
KCNH6,0.913717119,0.086282881
10-Mar,0.670700092,0.329299908
PLK3,0.447504762,0.552495238
NET1,0.999799609,0.000200391
DPY19L1,0.346746287,0.653253713
AC008080.1,1,7.49E-44
AC013489.1,0.093341831,0.906658169
PHOSPHO1,0.9995421,0.0004579
ZNF791,0.999999995,4.91E-09
PHC3,0.507898705,0.492101295
GPR160,0.99847483,0.00152517
CBX2,1,9.97E-22
SPTBN2,0.997110658,0.002889342
GOLIM4,0.419377819,0.580622181
KRT28,0.929318986,0.070681014
RBM4B,0.729922961,0.270077039
USMG5,0.351438064,0.648561936
HOXB2,0.863158195,0.136841805
C1QTNF1,1,2.03E-17
3-Mar,0.440507938,0.559492062
SWSAP1,0.999218805,0.000781195
SLCO4C1,0.469091329,0.530908671
RBM4,0.764017029,0.235982971
PIFO,1,5.56E-13
XXYLT1,1,6.75E-16
SNURFL,NA,NA
UBXN2A,0.326403251,0.673596749
AC095040.1,NA,NA
RAX2,0.967365226,0.032634774
LRRC63,0.751103659,0.248896341
TCAP,1,2.88E-24
CCS,0.99999994,6.01E-08
NRROS,0.993438604,0.006561396
CEP19,0.999999996,3.51E-09
KLHL15,0.994107841,0.005892159
FBXO45,0.99995348,4.65E-05
SPERT,0.929564185,0.070435815
FAM46D,0.8985428,0.1014572
GNG5,0.616322876,0.383677124
FAM3C2,0.999999979,2.07E-08
SLC25A30,0.790009313,0.209990687
C9orf131,0.999999993,7.47E-09
CD34,0.937676913,0.062323087
CTSF,0.308785363,0.691214637
MSRB3,0.510190235,0.489809765
LEMD3,0.906462421,0.093537579
C16orf91,0.990411188,0.009588812
TLR10,0.999991629,8.37E-06
TLR1,0.966058449,0.033941551
TLR6,0.999999984,1.59E-08
FAM174A,0.343083534,0.656916466
RGMB,0.688657446,0.311342554
FAM53A,1,2.03E-20
NWD2,1,1.76E-36
CYB561D1,0.998890795,0.001109205
GSTA3,NA,NA
ZDHHC24,1,1.75E-17
AC020659.1,0.939593702,0.060406298
TRMT10C,0.839681317,0.160318683
SELP,0.328544249,0.671455751
CTU2,1,2.55E-12
MGA,0.851659764,0.148340236
C12orf66,1,8.21E-11
ARL13A,NA,NA
SNX31,0.668335317,0.331664683
PIGG,1,2.51E-11
PRPF8,0.998453105,0.001546895
ADCY6,0.454161227,0.545838773
REP15,0.111685044,0.888314956
PITPNA,0.980342271,0.019657729
DDX23,0.994346326,0.005653674
ZNF80,1,5.12E-22
ZNHIT2,1,5.35E-14
EVX2,0.835131284,0.164868716
ZBTB4,0.626890234,0.373109766
TNK1,0.894508197,0.105491803
ZHX3,0.755722003,0.244277997
PHLDA3,0.240922611,0.759077389
DIRC1,NA,NA
SLC16A11,1,1.50E-25
SLC16A13,1,2.30E-11
GLIS1,0.638096922,0.361903078
OR2Y1,0.000245275,0.999754725
CHRNA9,1,2.99E-20
PODN,1,9.28E-35
STAG3L3,0.999999891,1.09E-07
SLC6A19,0.031615083,0.968384917
SNHG11,0.760035223,0.239964777
C11orf45,0.580664537,0.419335463
EXO1,0.682066253,0.317933747
RALGAPA1,0.796579722,0.203420278
PMS2P6,0.98554806,0.01445194
C20orf166-AS1,0.720577638,0.279422362
LIG4,0.806919477,0.193080523
MIR1-1HG,1.83E-07,0.999999817
PPIAP24,NA,NA
TRHR,0.412673133,0.587326867
RPL35P9,0.677888646,0.322111354
GTF2IRD2B,0.865476173,0.134523827
ABRA,0.925369078,0.074630922
ATP2A2,0.826095275,0.173904725
ZWILCH,0.851415592,0.148584408
RPL4,0.784557178,0.215442822
SNAPC5,0.975999166,0.024000834
STARD6,0.10181272,0.89818728
GOLGA6L2,0.163536544,0.836463456
VWC2L,0.509158218,0.490841782
C12orf76,0.338505092,0.661494908
ZCCHC12,1,1.20E-48
CNTNAP2,0.99999967,3.30E-07
GALNTL6,0.279869356,0.720130644
LINGO2,0.60547996,0.39452004
BBS1,0.861462071,0.138537929
DENND4A,0.452420224,0.547579776
AC005017.1,NA,NA
IGDCC3,0.006408584,0.993591416
GCSAM,0.56448159,0.43551841
ANKRD36C,0.999999987,1.32E-08
SLC26A9,1,3.32E-44
MFSD4A,1,1.17E-21
PELI3,0.862167006,0.137832994
TTC9B,0.126759553,0.873240447
MYO1H,0.811505031,0.188494969
TMEM81,0.916821948,0.083178052
MRPL11,0.973180365,0.026819635
KLK15,0.634856319,0.365143681
IL20RB,0.694361918,0.305638082
GOLT1A,1,7.71E-34
RPL10P2,0.053449117,0.946550883
AKIRIN1,0.530460923,0.469539077
NPAS4,0.876483638,0.123516362
MSL2,0.999937818,6.22E-05
ZNF497,0.957414289,0.042585711
TRAM1L1,0.917067422,0.082932578
CMKLR1,1,2.07E-18
ANGEL2,0.987398583,0.012601417
UGT8,0.72369185,0.27630815
KY,0.571870504,0.428129496
IQCK,0.834994335,0.165005665
SLCO2A1,0.99999998,2.03E-08
ZNF266,0.999814566,0.000185434
OR7D4,0.290528564,0.709471436
SLC29A2,1,1.10E-10
BRSK2,0.644264683,0.355735317
VN1R6P,NA,NA
FAM47DP,1,8.82E-16
GRIK1-AS1,0.934493479,0.065506521
B4GAT1,1,9.74E-16
TMEM167A,0.379362771,0.620637229
LEP,0.744896778,0.255103222
SH3PXD2B,1,1.67E-15
AC020890.1,0.999999971,2.87E-08
KIAA1551,0.994204493,0.005795507
LARP7,0.999433206,0.000566794
FGFBP3,0.999999975,2.53E-08
NR1D2,0.833653021,0.166346979
PABPC5,1,1.89E-10
BRMS1,0.894545977,0.105454023
RPL15,0.630984697,0.369015303
C4orf32,0.45474217,0.54525783
HRAS,0.563493402,0.436506598
WDR49,0.99999995,5.04E-08
SRP72,0.997643726,0.002356274
PCP2,0.709385036,0.290614964
RIN1,1,3.35E-11
C4orf26,0.195781776,0.804218224
THAP6,0.999977441,2.26E-05
CEP135,0.727280313,0.272719687
FZD4,0.999999945,5.45E-08
CD248,0.937345931,0.062654069
BTC,0.180908812,0.819091188
PDZK1,1,8.24E-14
ADGRE1,0.380711924,0.619288076
DENND6A,0.989125745,0.010874255
PDE12,0.979488355,0.020511645
GLMN,0.615972719,0.384027281
DNAH12,0.270612139,0.729387861
YIF1A,0.365408703,0.634591297
CNIH2,0.271554663,0.728445337
AMY1B,0.999999964,3.60E-08
NLRP6,0.864122809,0.135877191
NDUFA11,0.883492255,0.116507745
RSRC1,0.49208965,0.50791035
CATSPERD,1,1.34E-10
PQLC2L,0.368770085,0.631229915
RAB1B,0.544233503,0.455766497
METTL15P1,0.253336585,0.746663415
OR9G1,1,1.02E-18
PTDSS2,1,2.38E-11
C19orf70,0.374330951,0.625669049
C3orf33,0.062045949,0.937954051
VN2R1P,0.949057339,0.050942661
OR5M3,1,9.74E-44
SEZ6L2,0.712602829,0.287397171
ASPHD1,1,1.22E-14
KCTD13,0.887424099,0.112575901
P2RY14,1,8.82E-24
AMZ1,0.999994991,5.01E-06
GPR171,0.806856144,0.193143856
GPR149,0.106599539,0.893400461
CD164L2,0.787514719,0.212485281
FUT1,0.999984144,1.59E-05
DHX36,0.991468955,0.008531045
OR5J2,NA,NA
ZIC4,0.788216835,0.211783165
OR10AG1,0.933353323,0.066646677
AC026271.1,0.999992301,7.70E-06
OR4S2,NA,NA
FBXW8,0.999999806,1.94E-07
CA5A,0.352600345,0.647399655
ZG16,0.511050199,0.488949801
KLC2,0.999999998,1.59E-09
SLC22A1,1,4.84E-27
TEX36,8.57E-09,0.999999991
CTBP2,0.89784564,0.10215436
CHST2,0.696916918,0.303083082
ZDHHC14,1,4.70E-29
ATR,0.999999496,5.04E-07
LRRC75A-AS1,0.734561018,0.265438982
UBE2C,0.226698699,0.773301301
DSG4,0.901024683,0.098975317
GK5,0.999948913,5.11E-05
VCPIP1,0.799071862,0.200928138
RTP1,0.874524582,0.125475418
DES,1,2.19E-13
PDIK1L,0.999169605,0.000830395
SPSB4,0.479906149,0.520093851
RAG2,0.000566062,0.999433938
TRAF6,0.607359375,0.392640625
ZNF654,0.91081936,0.08918064
TVP23C,0.82574043,0.17425957
MRPS22,0.949402116,0.050597884
PACS1,0.687980311,0.312019689
WFDC5,0.795135059,0.204864941
MARCKSL1,0.645962319,0.354037681
SH3BP5L,0.864944696,0.135055304
OR2T1,0.824185138,0.175814862
TMEM51-AS1,6.40E-05,0.999935957
YPEL2,0.318204397,0.681795603
CADM2,0.177405166,0.822594834
ABO,0.406515983,0.593484017
PSMD2,0.769500738,0.230499262
FAM182B,0.434170766,0.565829234
PPM1E,0.246389189,0.753610811
FAM131A,0.999993058,6.94E-06
CSRP2,0.796757146,0.203242854
INHBC,0.131453693,0.868546307
PARL,0.843527153,0.156472847
DDIT3,0.669309005,0.330690995
PCCA,0.245440949,0.754559051
HIGD2B,0.617245639,0.382754361
DCTN2,0.553298538,0.446701462
NPPA,0.760215149,0.239784851
ZNF408,0.92610089,0.07389911
CTDSP2,0.793096558,0.206903442
CKAP5,0.73515245,0.26484755
ARHGAP1,0.975997939,0.024002061
MED16,0.719672929,0.280327071
ATG13,0.999643936,0.000356064
GAL3ST3,0.074523906,0.925476094
C1orf127,1,8.44E-27
CHST1,0.218739198,0.781260802
GOLGA8A,1,8.05E-26
VWA3A,0.999992899,7.10E-06
TP53I11,0.999999859,1.41E-07
CENPS,0.289386757,0.710613243
DOLK,0.999999943,5.70E-08
PHYHD1,0.999999997,2.98E-09
CATSPER1,0.221908817,0.778091183
ANKRD30BP1,NA,NA
CCNE2,0.951601419,0.048398581
PHYKPL,1,1.68E-10
ANKS4B,0.355745161,0.644254839
CST6,1,1.86E-62
GRAMD2A,0.162766236,0.837233764
NF1P5,NA,NA
ZNF519,1,1.73E-13
LSM1,0.357133451,0.642866549
PROP1,0.76628443,0.23371557
ISX,7.52E-21,1
BANF1,0.744427066,0.255572934
APOF,1,7.41E-44
CHRNA7,1,6.50E-22
TMEM9B,0.525171279,0.474828721
NRIP3,0.988101241,0.011898759
PTPN2,0.999977502,2.25E-05
SCUBE2,0.845449458,0.154550542
EIF1AD,0.999978194,2.18E-05
SMAD2,0.528122005,0.471877995
EIF3F,0.90649224,0.09350776
ZNF25,0.99580229,0.00419771
OR10P1,0.87940394,0.12059606
ARL10,1,1.95E-24
CLTB,0.895215638,0.104784362
PCSK1,0.999999522,4.78E-07
LPL,0.458380474,0.541619526
RFESD,0.722239398,0.277760602
CCDC14,0.999982477,1.75E-05
TBC1D10C,0.95522481,0.04477519
SART1,0.998205312,0.001794688
PPP2R2D,0.63452498,0.36547502
MCTP1,0.336151132,0.663848868
POLD4,0.591988806,0.408011194
OR52W1,0.148733937,0.851266063
LRRC25,0.999984854,1.51E-05
DPP10,1.39E-23,1
CLCF1,0.820401877,0.179598123
AL078621.2,0.162946562,0.837053438
TSGA10IP,1.10E-10,1
GPR152,1,1.19E-19
UBQLNL,1,2.36E-32
UBQLN3,1,3.46E-77
PNLIP,0.832749302,0.167250698
LIPT2,0.565351258,0.434648742
KCNE3,0.996787842,0.003212158
CABP4,1,4.26E-15
ALG10B,0.573872707,0.426127293
DRAP1,0.913342979,0.086657021
LONRF3,0.999733669,0.000266331
UCP3,0.862632424,0.137367576
UCP2,0.535954254,0.464045746
C11orf68,0.980304771,0.019695229
PAAF1,0.953038629,0.046961371
MRPL48,0.801574416,0.198425584
RAB6A,0.361498894,0.638501106
P2RY2,0.999829836,0.000170164
FOSL1,0.990381656,0.009618344
ERCC4,0.308284647,0.691715353
SUGCT,0.931182109,0.068817891
CCDC85B,0.710357452,0.289642548
AC007601.1,0.785491458,0.214508542
TMEM70,0.328418289,0.671581711
LINC00476,0.967632475,0.032367525
OR4B1,0.195781687,0.804218313
RPS6KB2,0.827673711,0.172326289
RMI2,0.739852932,0.260147068
PRM1,5.34E-07,0.999999466
DRD5P2,0.741697094,0.258302906
TOM1L2,0.944152695,0.055847305
TEX26,0.992486862,0.007513138
GOLGA8EP,0.87058599,0.12941401
ZNF77,1,2.97E-11
GPR156,0.999992956,7.04E-06
CCDC197,0.885803973,0.114196027
LINC00116,0.422069606,0.577930394
KDF1,0.195781783,0.804218217
B3GNTL1,0.966757186,0.033242814
RBMXL3,0.046357371,0.953642629
MLXIP,0.872501527,0.127498473
C11orf44,1,1.01E-27
BAK1P1,0.220606982,0.779393018
RWDD4P2,0.007148548,0.992851452
NR2F1,0.696139564,0.303860436
C15orf54,0.154690399,0.845309601
EIF3KP1,0.196823887,0.803176113
AURKAIP1,0.833729206,0.166270794
TTLL11,0.410204034,0.589795966
EIF4E1B,0.930574462,0.069425538
TOMM5,0.708113676,0.291886324
LINC01106,1,9.33E-18
AP002986.1,1,5.47E-16
C15orf53,1,4.27E-25
SLC35E3,1,5.97E-14
PRIMA1,4.46E-45,1
ZNF169,0.999996963,3.04E-06
RUVBL1,0.995709657,0.004290343
SFN,1,1.52E-16
OR52B3P,0.132270207,0.867729793
MSRA,0.599278328,0.400721672
ZNF645,1,8.55E-68
CCDC168,0.111924216,0.888075784
CTDNEP1,0.595816041,0.404183959
ETV4,0.144952649,0.855047351
FAM172BP,0.820467133,0.179532867
SWI5,0.356770838,0.643229162
GAPT,0.999999814,1.86E-07
BAIAP2,1,1.23E-14
CALCB,1,2.82E-20
CREG2,0.364285431,0.635714569
TMEM270,NA,NA
HOXD8,0.999999887,1.13E-07
RPL7AP66,0.460890913,0.539109087
ZDHHC21,0.999999446,5.54E-07
TSPEAR,1,2.67E-23
PLEKHF2,0.825864673,0.174135327
A2M,0.945467485,0.054532515
ARL4D,1,3.03E-10
DOK7,0.999997226,2.77E-06
LRRN1,1,3.26E-33
UBE2O,0.830961871,0.169038129
ORAI3,0.531658912,0.468341088
KLHL38,1,3.18E-21
FO393415.1,0.999993893,6.11E-06
UNC119B,0.992414456,0.007585544
DENND2C,0.256081303,0.743918697
PLEKHD1,1,5.46E-37
FAM220BP,0.015245621,0.984754379
ASCL3,NA,NA
TUBB6,0.999429499,0.000570501
LYSMD3,0.389365832,0.610634168
AMIGO3,NA,NA
B3GALT6,0.956166425,0.043833575
ZNF613,0.994333501,0.005666499
C11orf16,0.768092442,0.231907558
TMPRSS7,0.990386442,0.009613558
AC007160.1,0.411917259,0.588082741
NUPR1,0.999980134,1.99E-05
JAKMIP2,0.968559425,0.031440575
RPL23P2,1,1.05E-15
MBLAC2,0.52496634,0.47503366
TPRN,1,4.79E-12
LINC00302,NA,NA
KCNE5,1,1.10E-35
ZNF683,0.677707789,0.322292211
SLC35A4,0.616168614,0.383831386
CRYBG2,1,3.65E-29
IP6K1,0.750359941,0.249640059
SSNA1,0.57095654,0.42904346
CSTF3,0.60249845,0.39750155
YES1,0.88165865,0.11834135
CHMP6,0.599267359,0.400732641
AQP7P4,NA,NA
DLEU1,0.392740455,0.607259545
UFSP1,1,2.67E-23
AL445665.1,1,2.86E-25
MC5R,0.854550947,0.145449053
TMEM39A,0.999999986,1.44E-08
TCP11L1,1,1.61E-10
GPX2,0.78501699,0.21498301
CCDC57,1,1.81E-14
HSF5,0.118186662,0.881813338
FOXG1,0.808159477,0.191840523
SPHK1,0.620340903,0.379659097
BNIP3,0.34137772,0.65862228
ENTHD1,0.053287552,0.946712448
MYPOP,0.679677092,0.320322908
AC233964.1,0.062879343,0.937120657
CIDEA,2.42E-05,0.999975754
OR11H4,1,8.10E-43
OR4D11,0.71626545,0.28373455
LRRTM4,0.856006882,0.143993118
ATAD5,0.961326076,0.038673924
SMIM19,0.478236652,0.521763348
OR11H6,1.89E-06,0.99999811
ZNF404,1,3.48E-15
RTTN,0.997778908,0.002221092
OR4K17,0.4634606,0.5365394
OR10H4,6.25E-07,0.999999375
AC092634.1,NA,NA
C10orf111,NA,NA
OR51B6,0.91607421,0.08392579
CDV3P1,0.13322645,0.86677355
ACBD7,1,5.23E-115
OR4L1,0.114999732,0.885000268
ANAPC2,0.999998404,1.60E-06
OR4K13,1,4.60E-62
HMGB4,0.000204477,0.999795523
ZBTB8OS,0.363305338,0.636694662
CYCSP34,1,7.21E-50
OR4F21,0.870847992,0.129152008
SLC35G1,0.344516439,0.655483561
OR4K5,NA,NA
IDSP1,0.339251607,0.660748393
OR4K3,0.920445609,0.079554391
ZNF135,0.999664046,0.000335954
OR4N2,0.783166919,0.216833081
OR4M1,1,1.21E-24
FOXR1,NA,NA
OR4H12P,0.834725689,0.165274311
FOXN3P1,6.49E-11,1
AL138899.1,0.42954154,0.57045846
COX8A,0.377201093,0.622798907
RPL37AP8,0.999970875,2.91E-05
AC104129.1,1,2.77E-62
TAC4,NA,NA
ZSCAN2,0.994351735,0.005648265
PFN1P10,NA,NA
PRR18,0.904200855,0.095799145
B3GNT4,1,1.66E-31
CDC26,0.766036,0.233964
HSD11B2,0.544561976,0.455438024
CRLF3,0.635193081,0.364806919
RNPEP,0.931996721,0.068003279
EID2,0.999859751,0.000140249
DMRTA1,1,1.99E-25
EID2B,0.999999999,1.27E-09
GJC3,1,4.44E-10
RIMS2,0.144951756,0.855048244
KCMF1,0.724531037,0.275468963
DNAJC30,0.738341953,0.261658047
SPRYD4,1,1.44E-14
VPS37D,1,3.46E-43
CLEC14A,1,2.03E-10
SYNE3,0.999999669,3.31E-07
CLK2,0.999999428,5.72E-07
LPCAT4,0.999999987,1.29E-08
SLCO3A1,0.676572191,0.323427809
ZNF575,0.978325973,0.021674027
WDR25,0.999997588,2.41E-06
SGF29,0.977206306,0.022793694
PLA2G16,0.899614308,0.100385692
DIRAS1,0.378451871,0.621548129
OR5AN1,0.987454578,0.012545422
OR10AC1,0.152216338,0.847783662
AL033381.1,0.358849802,0.641150198
PHLDB3,0.999998906,1.09E-06
PRR15,1,3.02E-25
GNG7,0.999999999,1.00E-09
OR4C5,1,2.75E-46
USF3,0.952628993,0.047371007
OR4C3,0.046530479,0.953469521
OR4S1,0.530614699,0.469385301
CNTD1,0.999996245,3.76E-06
DCAF4L2,0.035434962,0.964565038
OR4X1,2.98E-07,0.999999702
CNBD1,0.959105457,0.040894543
DMBT1P1,0.93575742,0.06424258
AC008969.1,1,4.97E-13
KBTBD11,0.999988315,1.17E-05
B3GNT5,0.670701388,0.329298612
MAP3K19,0.36428519,0.63571481
C14orf177,0.703349998,0.296650002
LMNB2,0.999986029,1.40E-05
RMDN1,0.994067772,0.005932228
MEX3C,0.999857148,0.000142852
HORMAD2,0.378713963,0.621286037
RNF152,0.993565363,0.006434637
NANOGP1,NA,NA
MYO1D,0.996312124,0.003687876
C20orf197,0.277403386,0.722596614
FOXL1,0.36428543,0.63571457
TGIF2LY,NA,NA
LRRC37A,0.999999311,6.89E-07
FOXC2,1,9.86E-32
OR4F17,NA,NA
BDNF,0.259202697,0.740797303
SCAND2P,1,6.32E-16
CCDC121,0.487214594,0.512785406
ACSF3,0.999999999,7.43E-10
OR10AB1P,0.097203373,0.902796627
BOK,0.99999995,5.03E-08
ZNF843,0.667263655,0.332736345
TTTY14,0.999946961,5.30E-05
C8orf59,0.607351215,0.392648785
PFN4,0.351942135,0.648057865
OR51V1,0.000455544,0.999544456
MAGEB6,0.996433182,0.003566818
OR52Z1,0.938894885,0.061105115
CDK5R1,0.999979161,2.08E-05
OR51A1P,0.360637606,0.639362394
C15orf56,0.162766035,0.837233965
LINC00303,0.100912709,0.899087291
ZNF285B,1,1.05E-43
TCERG1L,0.909027899,0.090972101
NCKAP5,0.895053344,0.104946656
MAGEB18,1,1.48E-25
DEFB104A,NA,NA
