,Intrinsic,Extrinsic
PNPLA4,0.99984093,0.00015907
MYH13,0.330433071,0.669566929
ADIPOR2,0.613878242,0.386121758
CDKL3,0.276780704,0.723219296
UPP2,0.951618029,0.048381971
PRSS21,0.999999926,7.43E-08
MARK4,0.70980927,0.29019073
PROM1,1,1.52E-26
CCDC124,0.985431471,0.014568529
CEACAM21,0.396681162,0.603318838
PAFAH1B1,0.629645122,0.370354878
NOS2,0.99474579,0.00525421
DNAH9,0.378861148,0.621138852
KIAA0100,1,1.25E-13
SLC13A2,0.30217613,0.69782387
GAS7,0.949410467,0.050589533
TRAPPC6A,0.866032738,0.133967262
MATK,0.827588158,0.172411842
CEACAM7,0.921894271,0.078105729
CD79B,0.932368295,0.067631705
SCN4A,0.999903296,9.67E-05
ST7L,0.259923473,0.740076527
TKTL1,0.794565842,0.205434158
PAX6,0.978502938,0.021497062
RPUSD1,0.999977196,2.28E-05
RHBDF1,1,3.46E-25
LUC7L,0.999999268,7.32E-07
CACNA2D2,0.854264004,0.145735996
BAIAP3,0.999999962,3.77E-08
TSR3,0.696318658,0.303681342
PIGQ,0.999999139,8.61E-07
CRAMP1,0.999999961,3.94E-08
TEAD3,1,6.84E-26
SELE,0.999311108,0.000688892
DNAJC11,0.999847132,0.000152868
FMO3,1,4.59E-15
MYLIP,0.842215081,0.157784919
NOX1,0.786493205,0.213506795
E2F2,0.999211228,0.000788772
PSMB1,0.901640882,0.098359118
SYN1,0.999999891,1.09E-07
JARID2,0.624587101,0.375412899
CDKL5,0.860020848,0.139979152
CAMK1G,0.922267973,0.077732027
CDK11A,0.999981253,1.87E-05
NADK,0.999996718,3.28E-06
TFAP2B,0.152388186,0.847611814
TFAP2D,0.6178427,0.3821573
DLEC1,0.168779531,0.831220469
CYTH3,0.996828652,0.003171348
ADAM22,0.999999984,1.57E-08
SYPL1,0.61513439,0.38486561
CYB561,0.424561447,0.575438553
SPAG9,0.993029078,0.006970922
CELSR3,1,1.82E-17
AASS,0.565381313,0.434618687
PLEKHG6,0.725541333,0.274458667
SS18L2,0.52588821,0.47411179
MPND,0.517830398,0.482169602
MGST1,0.999999999,1.03E-09
CRY1,0.999528533,0.000471467
PGLYRP1,0.305079353,0.694920647
NFIX,0.949161753,0.050838247
ST3GAL1,0.994029119,0.005970881
MMP25,0.979773017,0.020226983
IL32,0.428322308,0.571677692
PKD1,1,7.80E-20
MAPK8IP2,1,1.66E-14
MED24,0.773369069,0.226630931
RHOBTB2,0.999998138,1.86E-06
HEATR5B,0.998048041,0.001951959
SEC62,0.870217685,0.129782315
RPS20,0.53841678,0.46158322
CSDE1,0.71851222,0.28148778
UBE3C,0.911214573,0.088785427
REV3L,0.776438937,0.223561063
TENM1,0.559498353,0.440501647
PAX7,0.718588864,0.281411136
MASP2,1,1.31E-43
IYD,0.722496612,0.277503388
FAM76A,0.999801486,0.000198514
TRAF3IP3,0.855067521,0.144932479
POMT2,1,3.81E-19
VTA1,0.502189889,0.497810111
MLXIPL,1,5.25E-17
BAZ1B,0.997705622,0.002294378
RANBP9,0.247842155,0.752157845
ETV7,0.287219919,0.712780081
SPRTN,0.902793817,0.097206183
METTL13,0.815990846,0.184009154
DYRK4,0.998737973,0.001262027
ZNF207,0.953055916,0.046944084
UQCRC1,0.996548708,0.003451292
STARD3NL,0.645719582,0.354280418
CD9,0.252428214,0.747571786
HHATL,0.840723235,0.159276765
NCAPD2,0.963861224,0.036138776
IFFO1,0.999999996,3.86E-09
GIPR,1,6.57E-19
PHF7,0.247136451,0.752863549
SEMA3G,0.617393944,0.382606056
NISCH,1,1.48E-11
STAB1,0.630389328,0.369610672
FUZ,1,8.83E-12
SLC6A13,0.685440263,0.314559737
IDS,0.580041746,0.419958254
PRSS3,0.572499793,0.427500207
ZNF200,0.705219355,0.294780645
CD4,1,3.56E-15
LRRC23,0.842937067,0.157062933
BTK,0.643147653,0.356852347
HFE,0.999999774,2.26E-07
SCMH1,0.370269676,0.629730324
FYN,0.693920905,0.306079095
HIVEP2,0.750375975,0.249624025
FMO1,3.17E-06,0.999996828
ELOA,0.999737184,0.000262816
LYPLA2,0.913523048,0.086476952
CLCN6,1,1.89E-14
MRC2,0.999999882,1.18E-07
NME1-NME2,1,1.41E-41
SLC6A7,0.794932634,0.205067366
TSPAN9,0.459967995,0.540032005
BTBD7,0.76613464,0.23386536
APBA3,0.428468424,0.571531576
MKS1,0.595875123,0.404124877
ABHD5,0.847879187,0.152120813
ANOS1,5.66E-20,1
AKAP8L,0.999999913,8.73E-08
MBTD1,0.31497812,0.68502188
UTP18,0.904514617,0.095485383
RNF216,0.666735836,0.333264164
TTC19,0.999164296,0.000835704
PTBP1,0.983529966,0.016470034
DPF1,1,2.05E-62
SYT7,0.775832471,0.224167529
LARS2,1,7.35E-12
PIK3C2A,0.988580567,0.011419433
PLAUR,0.995270128,0.004729872
ANLN,0.780696487,0.219303513
WIZ,0.999444916,0.000555084
RABGAP1,0.402799944,0.597200056
DCN,1,2.19E-18
QPCTL,1,3.66E-31
PPP5C,0.837569598,0.162430402
CEP68,0.895284475,0.104715525
MAP4K3,0.425331968,0.574668032
ZBTB32,1,3.33E-20
TYROBP,0.570527138,0.429472862
TMEM159,0.231649002,0.768350998
GABRA3,1,8.52E-28
BRCA1,0.386001444,0.613998556
ERCC1,0.999985423,1.46E-05
CD22,0.999678559,0.000321441
SEMA3B,0.999899845,0.000100155
MBTPS2,0.999846012,0.000153988
PRICKLE3,0.919062003,0.080937997
LTF,0.628842648,0.371157352
EXTL3,0.995585251,0.004414749
NR1H4,0.999999962,3.78E-08
ELOVL5,0.82184989,0.17815011
ALOX5,0.883899875,0.116100125
KDM5D,1,1.82E-16
CALCOCO1,0.934755205,0.065244795
UBR7,0.941081225,0.058918775
MAP4K5,0.53910292,0.46089708
EHD3,0.5413345,0.4586655
PSMC4,0.924806405,0.075193595
MAN2B2,0.357233757,0.642766243
SLC7A14,1,5.79E-62
CLDN11,0.615299414,0.384700586
SLC25A39,0.914498539,0.085501461
MVP,0.999500886,0.000499114
NUB1,0.917024565,0.082975435
PGM3,0.838935543,0.161064457
RWDD2A,0.999951348,4.87E-05
CLK1,0.800016435,0.199983565
POLR3B,0.34269505,0.65730495
ANGEL1,1,4.91E-14
RNF14,0.80798729,0.19201271
DNASE1L1,0.999180866,0.000819134
DDX11,1,2.84E-15
HEBP1,0.758355452,0.241644548
GPRC5A,1,2.76E-33
MAMLD1,0.39896503,0.60103497
CD6,0.821277545,0.178722455
TACC3,0.566086069,0.433913931
UFL1,0.998373445,0.001626555
POLA2,0.980069328,0.019930672
ZC3H3,0.999897734,0.000102266
CAPN1,0.63930024,0.36069976
ACPP,0.998882359,0.001117641
MDH1,0.971334647,0.028665353
SLC30A9,0.615048715,0.384951285
MTMR11,0.997114394,0.002885606
COX15,0.802468529,0.197531471
CCDC88C,0.987307507,0.012692493
YAF2,0.383724641,0.616275359
ZMYND11,0.873278798,0.126721202
WAS,0.812889168,0.187110832
DPEP1,0.628948955,0.371051045
BID,0.996072621,0.003927379
MATR3,0.691999863,0.308000137
NPC1L1,0.424284241,0.575715759
XYLT2,0.997262088,0.002737912
RGPD5,0.000271672,0.999728328
STMN4,0.35569829,0.64430171
NUDCD3,0.881605445,0.118394555
ISL1,0.83034305,0.16965695
CHDH,1,5.02E-11
IL20RA,1,2.33E-12
CLCA1,9.96E-11,1
CLCA4,0.18900082,0.81099918
GLT8D1,0.942518239,0.057481761
ATP2C1,0.477646523,0.522353477
IGF1,1,1.81E-11
SLC38A5,0.612800914,0.387199086
RALBP1,0.86740712,0.13259288
RUFY3,1,5.31E-13
CNTN1,1,2.72E-62
SLC11A1,0.570493642,0.429506358
WWTR1,0.999989103,1.09E-05
AGPS,0.784405273,0.215594727
ZNF806,0.951770571,0.048229429
CXorf56,0.970681141,0.029318859
ATP1A2,1,9.54E-28
TTC27,0.270658018,0.729341982
ZNF582,0.633269957,0.366730043
VSIG2,0.208788325,0.791211675
PHLDB1,0.726377981,0.273622019
MARCO,0.999303697,0.000696303
CYP24A1,1.88E-08,0.999999981
PRDM11,0.99925825,0.00074175
SYT13,1,1.25E-55
SNAI2,0.553495046,0.446504954
CD74,0.99978646,0.00021354
HGF,0.15778352,0.84221648
ZRANB1,0.907947738,0.092052262
NCDN,0.633394625,0.366605375
ADGRA2,0.999986285,1.37E-05
CCT8L1P,0.924040837,0.075959163
ZFP64,0.878557448,0.121442552
MNAT1,0.991249168,0.008750832
SAMD4A,0.976825001,0.023174999
RUNX3,0.782180737,0.217819263
MRE11,0.998946904,0.001053096
PLEKHB1,0.447630767,0.552369233
SERPINB1,0.299266369,0.700733631
CYP3A43,0.160290554,0.839709446
SLC7A9,0.072546311,0.927453689
SPAST,0.523993335,0.476006665
NRXN3,1,1.34E-36
OSBPL5,0.99572392,0.00427608
AQR,0.999159106,0.000840894
CPS1,0.997583805,0.002416195
C8B,0.987501477,0.012498523
FHL1,0.370800454,0.629199546
RTFDC1,0.887914975,0.112085025
GABRA1,0.274497745,0.725502255
NLRP2,0.999999958,4.20E-08
SLC45A4,0.25071186,0.74928814
RNF10,0.872103873,0.127896127
ZNF839,0.998813841,0.001186159
ZDHHC6,0.991634542,0.008365458
GRAMD1B,1,2.56E-36
RNH1,0.86713043,0.13286957
NDUFS1,0.752433427,0.247566573
RB1CC1,0.956216476,0.043783524
ERP44,0.69665219,0.30334781
ALAS1,0.998162576,0.001837424
BIRC3,0.988019025,0.011980975
AKAP11,0.995650343,0.004349657
GLRX2,0.58498366,0.41501634
SNAPC1,0.637686695,0.362313305
DERA,0.272196434,0.727803566
STRAP,0.468161192,0.531838808
ABCC2,1,4.46E-28
DEF6,0.999995306,4.69E-06
PLEKHO1,0.703291034,0.296708966
GCLM,0.378810194,0.621189806
UBR2,0.841678751,0.158321249
EHD2,0.619915501,0.380084499
DEPDC1,0.342142752,0.657857248
CCDC28A,0.659502672,0.340497328
RRAGD,0.759991195,0.240008805
HSF2,0.999999317,6.83E-07
PHF20,0.639071627,0.360928373
HSD17B6,0.988816927,0.011183073
NR1H3,0.206163668,0.793836332
TYMP,0.999518116,0.000481884
NCAPH2,0.999999951,4.89E-08
TOMM34,0.92754774,0.07245226
SEC63,0.742695214,0.257304786
KPNA6,0.96691043,0.03308957
VIM,0.950981121,0.049018879
RTEL1-TNFRSF6B,1,1.71E-40
FAS,0.999821646,0.000178354
RNASET2,1,1.41E-11
CD44,0.852295236,0.147704764
KCNG1,0.999999752,2.48E-07
AGPAT4,1,4.73E-19
SLAMF7,1,2.91E-18
BTN3A1,0.729150952,0.270849048
MIPEP,0.804612653,0.195387347
PRKCH,0.858514945,0.141485055
INSRR,1,4.79E-25
IFNGR1,0.830584777,0.169415223
B4GALT7,0.992606112,0.007393888
SH2D2A,0.625812066,0.374187934
VRK2,0.402675524,0.597324476
TNFRSF1B,0.937981105,0.062018895
VEZT,0.534094317,0.465905683
POU2F2,0.808709374,0.191290626
BRD9,0.999691198,0.000308802
SNX1,0.831469217,0.168530783
TBPL1,0.481300787,0.518699213
ARNTL2,0.119148599,0.880851401
BCLAF1,0.997725802,0.002274198
SLC39A9,0.994125738,0.005874262
